tick,flightState,filtered_altitude,filtered_acceleration
9927,IDLE,-0.056863,9.89618
9940,IDLE,-0.0576831,9.89624
9953,IDLE,-0.0608471,9.89607
9970,IDLE,-0.0616483,9.89625
9983,IDLE,-0.0624425,9.89648
9996,IDLE,-0.06323,9.89643
10039,IDLE,-0.0628281,9.89647
10052,IDLE,-0.0612592,10.6548
10065,IDLE,-0.0608707,10.5987
10078,IDLE,-0.059318,10.5497
10093,IDLE,-0.0589428,10.5021
10106,IDLE,-0.0539003,10.4572
10119,IDLE,-0.0541484,10.4129
10132,IDLE,-0.0532077,10.3757
10145,IDLE,-0.0522744,10.3412
10158,IDLE,-0.0507621,10.3111
10175,IDLE,-0.0498445,10.2819
10188,IDLE,-0.0477552,10.2555
10201,IDLE,-0.0486402,10.233
10214,IDLE,-0.0489205,10.2122
10227,IDLE,-0.0468418,10.192
10240,IDLE,-0.0465427,10.1741
10253,IDLE,-0.0433008,10.1586
10266,IDLE,-0.0424255,10.1441
10279,IDLE,-0.0415574,10.131
10292,IDLE,-0.0424816,10.1202
10305,IDLE,-0.0422103,10.1093
10318,IDLE,-0.04253,10.0977
10331,IDLE,-0.0446082,10.0872
10344,IDLE,-0.0437337,10.0775
10357,IDLE,-0.0440431,10.0686
10374,IDLE,-0.0437651,10.0601
10387,IDLE,-0.0417432,10.0519
10400,IDLE,-0.0408929,10.0441
10413,IDLE,-0.0394699,10.0397
10426,IDLE,-0.0362976,10.0333
10439,IDLE,-0.0337023,10.0285
10465,IDLE,-0.0340796,10.0224
10478,IDLE,-0.0340796,10.0192
10491,IDLE,-0.0340796,10.0149
10508,IDLE,-0.0340796,10.011
10525,IDLE,-0.0340796,10.0075
10544,IDLE,-0.0340796,10.0055
10557,IDLE,-0.0340796,10.0025
10571,IDLE,-0.033271,9.99758
10588,IDLE,-0.0324693,9.99403
10601,IDLE,-0.0340343,9.99146
10614,IDLE,-0.0355921,9.98899
10627,IDLE,-0.037733,9.98671
10640,IDLE,-0.0386839,9.98452
10653,IDLE,-0.0384362,9.98202
10666,IDLE,-0.0387807,9.97883
10679,IDLE,-0.040301,9.97667
10692,IDLE,-0.0412266,9.97467
10705,IDLE,-0.0421448,9.97268
10719,IDLE,-0.0430559,9.97153
10732,IDLE,-0.0445446,9.96924
10745,IDLE,-0.0448483,9.9677
10758,IDLE,-0.0463209,9.96489
10775,IDLE,-0.0466124,9.96455
10792,IDLE,-0.0486499,9.96281
10805,IDLE,-0.0489267,9.96206
10818,IDLE,-0.046874,9.96006
10831,IDLE,-0.0465785,9.95964
10844,IDLE,-0.0480344,9.95895
10857,IDLE,-0.0489017,9.95852
10870,IDLE,-0.0485949,9.9588
10883,IDLE,-0.050031,9.95718
10896,IDLE,-0.0526235,9.95503
10909,IDLE,-0.0499541,9.95434
10922,IDLE,-0.0514054,9.95262
10935,IDLE,-0.0522612,9.95098
10948,IDLE,-0.0519297,9.94935
10961,IDLE,-0.0510174,9.9473
10976,IDLE,-0.0530356,9.94653
10993,IDLE,-0.0544637,9.94557
11006,IDLE,-0.0535319,9.94551
11019,IDLE,-0.053193,9.94499
11032,IDLE,-0.0557855,9.94366
11045,IDLE,-0.0571996,9.9431
11058,IDLE,-0.0544782,9.94192
11071,IDLE,-0.0559131,9.94043
11084,IDLE,-0.0567472,9.93928
11097,IDLE,-0.0575743,9.93848
11110,IDLE,-0.0542475,9.93772
11123,IDLE,-0.0533005,9.93698
11136,IDLE,-0.0535532,9.93665
11149,IDLE,-0.0549952,9.93603
11162,IDLE,-0.0564296,9.93543
11175,IDLE,-0.0566613,9.93445
11192,IDLE,-0.0568904,9.93368
11205,IDLE,-0.0582992,9.93301
11218,IDLE,-0.060884,9.93255
11231,IDLE,-0.0610867,9.93226
11244,IDLE,-0.061883,9.93258
11257,IDLE,-0.0632607,9.93217
11270,IDLE,-0.0628581,9.9319
11283,IDLE,-0.0624598,9.93159
11296,IDLE,-0.0626495,9.93117
11309,IDLE,-0.0645853,9.93094
11322,IDLE,-0.0653506,9.93023
11335,IDLE,-0.0661094,9.93047
11348,IDLE,-0.0656947,9.92977
11361,IDLE,-0.0652843,9.92912
11374,IDLE,-0.0683443,9.92886
11391,IDLE,-0.0714158,9.92843
11404,IDLE,-0.0739108,9.92835
11417,IDLE,-0.0722567,9.92768
11430,IDLE,-0.0717941,9.92689
11443,IDLE,-0.0707464,9.92608
11456,IDLE,-0.0714809,9.92595
