tick,gx,gy,gz
613725,-0.350963,-0.0305185,0.0305185
614729,-0.19837,-0.366222,-0.183111
615733,0.289926,-0.900296,0.381481
616740,-0.137333,-0.0915555,0.259407
617746,-0.701926,1.22074,1.1597
618746,0.518815,0.625629,0.762963
619752,0.228889,0.549333,-0.305185
620757,-0.21363,-0.061037,-0.457778
621766,0.732444,-0.122074,0.335704
622768,-0.0152593,0.503555,0.549333
623772,1.22074,0.900296,0.289926
624774,-0.564592,0.564592,-0.152593
625776,0.595111,0.564592,0.534074
626777,0.0305185,-0.473037,0.412
627781,0.930815,-0.61037,0.885037
628790,-0.320444,0.274667,0.915555
629793,1.236,0.0305185,-0.640889
630822,-0.747703,0.0762963,0.305185
631838,1.25126,-0.518815,0.167852
632842,1.38859,-0.152593,-0.473037
633846,0.106815,0.320444,0.167852
634848,1.00711,1.70904,0.961333
635854,0.228889,0.442518,-0.427259
636854,0.839259,0.0305185,0.854518
637866,-0.625629,-0.625629,0.183111
638874,0.457778,0.396741,-0.183111
639886,0.137333,0.686666,-0.244148
640893,0.991852,0.579852,0.579852
641905,-0.0457778,0.61037,1.28178
642911,0.885037,0.564592,0.976592
643915,0.183111,1.44963,0.106815
644931,0.869778,0.656148,0.0152593
645935,0.473037,0.80874,0.0152593
646940,-0.061037,0.900296,0.976592
647944,0.686666,0.732444,0.289926
648948,0.671407,-0.137333,0.915555
649954,-0.915555,-0.061037,-0.396741
650961,-0.137333,0.305185,0.976592
651974,0.350963,-0.0305185,0.0762963
652977,0.824,-0.518815,-0.244148
653979,1.37333,0.701926,1.58696
654980,1.11393,0.350963,0.0762963
655986,0.244148,0.0305185,-0.320444
656990,0.244148,0.21363,-0.244148
657995,0,-0.061037,-0.625629
658999,1.03763,0.335704,0.946074
660003,1.26652,0.305185,1.43437
661010,-0.183111,-0.671407,1.08341
662012,0.427259,0.19837,0.167852
663020,-0.0457778,0.0152593,0.335704
664024,0.518815,0.701926,-0.396741
665030,0.167852,0.061037,-0.595111
666042,0.503555,-0.274667,0.991852
667046,0.473037,1.19022,-0.305185
668047,-0.0915555,-0.488296,0
669053,-0.427259,0.259407,-0.671407
670066,-0.457778,0.167852,-0.396741
671070,0.152593,0.991852,0.732444
672070,0.381481,0.80874,-0.152593
673075,0.839259,0.457778,0.747703
674082,0.442518,0.122074,-0.381481
675086,-0.0152593,-0.0152593,-0.579852
676096,0.335704,-0.21363,0.167852
677100,0.122074,0.946074,0.335704
678113,0.0762963,-0.80874,-1.40385
679113,0.305185,0.183111,0.549333
680117,1.00711,-0.137333,-0.0305185
681125,0,0.0457778,0.152593
682131,0.106815,-0.0457778,-0.869778
683132,-0.244148,0.259407,0.274667
684150,0.976592,0.671407,-0.473037
685151,-0.412,0.244148,-0.183111
686159,-0.19837,0.488296,-0.717185
687163,0.152593,0.274667,0.061037
688165,0.366222,-0.976592,0.549333
689169,0.793481,0.473037,0.457778
690173,1.26652,1.5717,0.686666
691185,0.412,1.09867,0.61037
692189,0.167852,-0.0762963,-0.473037
693192,0.976592,-0.0762963,0.152593
694204,0.747703,-0.320444,-0.106815
695208,1.26652,1.37333,1.37333
696224,1.3123,-1.03763,0.595111
697235,0.701926,0.19837,0.656148
698241,-0.061037,0.671407,-0.122074
699245,0.778222,0.824,-0.350963
700248,0.19837,0.259407,0.442518
701260,-0.259407,0.396741,-0.579852
702266,0.686666,0.701926,-0.80874
703267,0.671407,1.5717,-0.732444
704270,0.442518,1.19022,0.503555
705286,0.366222,0.244148,-0.289926
706288,0.564592,0.289926,-0.717185
707292,-0.228889,-0.320444,0.900296
708296,1.236,-0.366222,-0.930815
709300,1.1597,-0.167852,-0.900296
710301,0.0762963,0.0915555,-0.122074
711313,0.0762963,0.457778,-0.167852
712313,1.32756,0.869778,0.0152593
713315,0.457778,-0.839259,-0.80874
714319,1.06815,0.0152593,0.244148
715335,1.14444,0.289926,-0.549333
716340,0.473037,0.869778,0.732444
717344,-0.061037,1.02237,0.0457778
718348,0.396741,-0.549333,0.564592
719352,-0.122074,0,0.793481
720362,-0.488296,-0.518815,0.396741
721366,1.14444,0.640889,-0.137333
722366,0.976592,-0.503555,-0.244148
723375,-0.167852,0.106815,-0.259407
724375,-1.1597,0.122074,0.106815
725378,0.595111,0.717185,-0.412
726385,-0.0762963,-0.061037,-0.824
727390,0.183111,0.0762963,0.579852
728398,0.595111,-0.167852,0
729414,0.0305185,0.824,-0.259407
730427,0.0762963,0.946074,-0.457778
731433,0.152593,0.289926,-0.0457778
